,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
0,10157432,facebook/bart-large-cnn,0.3339661835541737,0,0,0.5333333333333333,0,0.25,0
1,10157432,google/pegasus-xsum,0.3515443669357449,0.08571428571428572,0.15384615384615385,0.1111111111111111,0.6,0.2,0.15384615384615385
2,10157432,t5-large,0.3642630799563778,0.07692307692307693,0.11764705882352941,0.5483870967741935,0,0.1111111111111111,0.11764705882352941
3,10157432,gpt-3.5-turbo,0.355265086872798,0.07317073170731707,0.10526315789473684,0.5757575757575758,0.09090909090909091,0.09090909090909091,0.10526315789473685
4,10157432,RefSum,0.5589504551983594,0.15789473684210525,1,0.06666666666666667,0,0,1
5,34185458,facebook/bart-large-cnn,0.34932103070116105,0,0,0.5454545454545454,0,0,0
6,34185458,google/pegasus-xsum,0.29769516240415517,0,0,0,1,0,0
7,34185458,t5-large,0.36417768412363866,0,0,0.4,0,0,0
8,34185458,gpt-3.5-turbo,0.3371119829288684,0,0,0.5,0.25,0,0
9,34185458,RefSum,0.4,0,0,0,0,0,0
10,47967764,facebook/bart-large-cnn,0.4178279917128915,0.18181818181818182,0.36363636363636365,0.5161290322580645,0,0,0.3636363636363636
11,47967764,google/pegasus-xsum,0.32159598095930186,0,0,0.24,0,0.6666666666666666,0
12,47967764,t5-large,0.3366949172941925,0,0,0.37037037037037035,0,0.4,0
13,47967764,gpt-3.5-turbo,0.32089860521279934,0,0,0.2222222222222222,0.4,0.4,0
14,47967764,RefSum,0.5630557173643149,0.23076923076923078,1,0.08333333333333333,0,0,1
15,blogs-news-from-elsewhere-34313610,facebook/bart-large-cnn,0.3552435752679823,0,0,0.21052631578947367,0.3333333333333333,0,0
16,blogs-news-from-elsewhere-34313610,google/pegasus-xsum,0.4865261604430838,0,0.6666666666666666,0.10526315789473684,0,0,0.6666666666666666
17,blogs-news-from-elsewhere-34313610,t5-large,0.3902555502183973,0,0,0.11764705882352941,0,0,0
18,blogs-news-from-elsewhere-34313610,gpt-3.5-turbo,0.4429719445512525,0,0.5,0.2857142857142857,0,0,0.5
19,blogs-news-from-elsewhere-34313610,RefSum,0.5534572563937673,0,1,0,0,0,1
20,blogs-news-from-elsewhere-51090657,facebook/bart-large-cnn,0.32366658754528577,0,0,0.7058823529411765,0.14285714285714285,0,0
21,blogs-news-from-elsewhere-51090657,google/pegasus-xsum,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
22,blogs-news-from-elsewhere-51090657,t5-large,0.3846600568125726,0,0,0.18181818181818182,0,0,0
23,blogs-news-from-elsewhere-51090657,gpt-3.5-turbo,0.4116168142165275,0,0.4,0.15384615384615385,0.3333333333333333,0,0.4
24,blogs-news-from-elsewhere-51090657,RefSum,0.5534572563937673,0,1,0,0,0,1
25,business-18074966,facebook/bart-large-cnn,0.3492641671291,0,0,0.3333333333333333,0.2857142857142857,0,0
26,business-18074966,google/pegasus-xsum,0.3228990346228769,0,0,0.07407407407407407,0.75,0,0
27,business-18074966,t5-large,0.3575830094546762,0,0,0.3448275862068966,0.16666666666666666,0,0
28,business-18074966,gpt-3.5-turbo,0.29769516240415517,0,0,0,1,0,0
29,business-18074966,RefSum,0.5534572563937673,0,1,0,0,0,1
30,business-22689987,facebook/bart-large-cnn,0.3817241160813691,0.08333333333333333,0.16666666666666666,0.5151515151515151,0,0,0.16666666666666666
31,business-22689987,google/pegasus-xsum,0.5572584315530534,0.1,1,0.037037037037037035,0,0,1
32,business-22689987,t5-large,0.4050534933909963,0.09090909090909091,0.2222222222222222,0.36666666666666664,0,0,0.2222222222222222
33,business-22689987,gpt-3.5-turbo,0.4051779798012943,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0,0.3333333333333333
34,business-22689987,RefSum,0.5572584315530534,0.1,1,0.037037037037037035,0,0,1
35,business-26475437,facebook/bart-large-cnn,0.3777347524931463,0.06976744186046512,0.13333333333333333,0.5,0,0,0.13333333333333333
36,business-26475437,google/pegasus-xsum,0.373289626507644,0.08333333333333333,0.25,0.03225806451612903,0.6666666666666666,0,0.25
37,business-26475437,t5-large,0.3496707771346935,0.061224489795918366,0.09523809523809523,0.7045454545454546,0,0,0.09523809523809523
38,business-26475437,gpt-3.5-turbo,0.348647037135688,0,0.1111111111111111,0.34146341463414637,0.38461538461538464,0.07692307692307693,0.1111111111111111
39,business-26475437,RefSum,0.5563343775995555,0.07894736842105263,1,0.030303030303030304,0,0,1
40,business-26802475,facebook/bart-large-cnn,0.38361590986472577,0,0,0.1935483870967742,0,0,0
41,business-26802475,google/pegasus-xsum,0.4,0,0,0,0,0,0
42,business-26802475,t5-large,0.38890600418225096,0,0,0.13333333333333333,0,0,0
43,business-26802475,gpt-3.5-turbo,0.37355558945137857,0,0,0.30303030303030304,0,0,0
44,business-26802475,RefSum,0.4,0,0,0,0,0,0
45,business-31949307,facebook/bart-large-cnn,0.3859990119648642,0,0,0.16666666666666666,0,0,0
46,business-31949307,google/pegasus-xsum,0.3859990119648642,0,0,0.16666666666666666,0,0,0
47,business-31949307,t5-large,0.3794167080639802,0,0,0.24,0,0,0
48,business-31949307,gpt-3.5-turbo,0.3591229523340803,0,0,0.16,0.3333333333333333,0,0
49,business-31949307,RefSum,0.4,0,0,0,0,0,0
50,business-35240093,facebook/bart-large-cnn,0.34469171434354023,0,0,0.5,0,0.14285714285714285,0
51,business-35240093,google/pegasus-xsum,0.3589731572632769,0.09090909090909091,0.16666666666666666,0.1111111111111111,0.6666666666666666,0,0.16666666666666666
52,business-35240093,t5-large,0.3514659322083968,0,0,0.38461538461538464,0,0.2,0
53,business-35240093,gpt-3.5-turbo,0.3762511861616576,0.06976744186046512,0.2727272727272727,0.5135135135135135,0.25,0,0.2727272727272727
54,business-35240093,RefSum,0.5566121095493135,0.09090909090909091,1,0.037037037037037035,0,0,1
55,business-38842721,facebook/bart-large-cnn,0.36456214712260515,0,0,0.3137254901960784,0.1111111111111111,0,0
56,business-38842721,google/pegasus-xsum,0.38536001226721806,0,0,0.17391304347826086,0,0,0
57,business-38842721,t5-large,0.36456214712260515,0,0,0.3137254901960784,0.1111111111111111,0,0
58,business-38842721,gpt-3.5-turbo,0.3430794644955313,0,0,0.22641509433962265,0.45454545454545453,0,0
59,business-38842721,RefSum,0.4,0,0,0,0,0,0
60,business-38878091,facebook/bart-large-cnn,0.34880225193324443,0,0,0.4878048780487805,0,0.1,0
61,business-38878091,google/pegasus-xsum,0.44459832415800393,0.08333333333333333,0.4,0.2,0,0,0.4
62,business-38878091,t5-large,0.40145280379449505,0.075,0.2222222222222222,0.38461538461538464,0,0,0.2222222222222222
63,business-38878091,gpt-3.5-turbo,0.3554319002179359,0.061224489795918366,0.1111111111111111,0.6041666666666666,0.11764705882352941,0,0.1111111111111111
64,business-38878091,RefSum,0.5570990233188292,0.09090909090909091,1,0.03125,0,0,1
65,business-39841164,facebook/bart-large-cnn,0.3820170552099838,0.046875,0.25,0.11666666666666667,0,0.5,0.25
66,business-39841164,google/pegasus-xsum,0.41345869001185676,0.047619047619047616,0.5714285714285714,0.05084745762711865,0,0.6666666666666666,0.5714285714285715
67,business-39841164,t5-large,0.3195076602478375,0,0,0.13333333333333333,0,0.75,0
68,business-39841164,gpt-3.5-turbo,0.39899580433251897,0.08333333333333333,0.25,0.2647058823529412,0.16666666666666666,0.08333333333333333,0.25
69,business-39841164,RefSum,0.5590996499550832,0.140625,1,0.05,0,0,1
70,business-40375970,facebook/bart-large-cnn,0.3694717650127002,0,0,0.23076923076923078,0.14285714285714285,0,0
71,business-40375970,google/pegasus-xsum,0.4653252885281244,0,0.5,0.0425531914893617,0,0,0.5
72,business-40375970,t5-large,0.39647633332625654,0,0,0.043478260869565216,0,0,0
73,business-40375970,gpt-3.5-turbo,0.35135844127919613,0,0,0.0425531914893617,0.5,0,0
74,business-40375970,RefSum,0.5534572563937673,0,1,0,0,0,1
75,business-40666236,facebook/bart-large-cnn,0.374395694703323,0,0,0.29411764705882354,0,0,0
76,business-40666236,google/pegasus-xsum,0.5534572563937673,0,1,0,0,0,1
77,business-40666236,t5-large,0.36975633748835196,0,0,0.34285714285714286,0,0,0
78,business-40666236,gpt-3.5-turbo,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
79,business-40666236,RefSum,0.5534572563937673,0,1,0,0,0,1
80,business-41231763,facebook/bart-large-cnn,0.34735069980264893,0,0,0.5641025641025641,0,0,0
81,business-41231763,google/pegasus-xsum,0.3784993148753034,0,0,0.25,0,0,0
82,business-41231763,t5-large,0.3621022232400749,0,0,0.29411764705882354,0.16666666666666666,0,0
83,business-41231763,gpt-3.5-turbo,0.33633850266985355,0,0,0.3902439024390244,0.38461538461538464,0,0
84,business-41231763,RefSum,0.4,0,0,0,0,0,0
85,business-42226808,facebook/bart-large-cnn,0.3609568359856166,0,0,0.22857142857142856,0,0.25,0
86,business-42226808,google/pegasus-xsum,0.43979823631635634,0.08571428571428572,0.5,0.08823529411764706,0.3333333333333333,0,0.5
87,business-42226808,t5-large,0.3609568359856166,0,0,0.22857142857142856,0,0.25,0
88,business-42226808,gpt-3.5-turbo,0.3873930614412101,0.07317073170731707,0.2,0.325,0.2222222222222222,0,0.19999999999999998
89,business-42226808,RefSum,0.5570990233188292,0.09090909090909091,1,0.03125,0,0,1
90,business-44725606,facebook/bart-large-cnn,0.37518438923746705,0,0,0.2857142857142857,0,0,0
91,business-44725606,google/pegasus-xsum,0.3934462038782277,0,0,0.08,0,0,0
92,business-44725606,t5-large,0.3810359280510957,0,0,0.2222222222222222,0,0,0
93,business-44725606,gpt-3.5-turbo,0.31999239853298356,0,0,0.125,0.75,0,0
94,business-44725606,RefSum,0.4,0,0,0,0,0,0
95,business-45506500,facebook/bart-large-cnn,0.3949000171456088,0.09375,0.2222222222222222,0.36666666666666664,0.14285714285714285,0,0.22222222222222224
96,business-45506500,google/pegasus-xsum,0.3845196893965808,0,0.6666666666666666,0,0,1,0.6666666666666666
97,business-45506500,t5-large,0.4478142104271906,0.10714285714285714,0.4,0.19230769230769232,0,0,0.4
98,business-45506500,gpt-3.5-turbo,0.40485007985311,0.08823529411764706,0.36363636363636365,0.28125,0.3333333333333333,0,0.3636363636363636
99,business-45506500,RefSum,0.5578039128133176,0.1111111111111111,1,0.04,0,0,1
100,business-47891982,facebook/bart-large-cnn,0.3690671839879875,0,0,0.35,0,0,0
101,business-47891982,google/pegasus-xsum,0.3815795702475345,0,0,0.21621621621621623,0,0,0
102,business-47891982,t5-large,0.37311467188964176,0,0,0.3076923076923077,0,0,0
103,business-47891982,gpt-3.5-turbo,0.35269471278714437,0,0,0.45454545454545453,0.09090909090909091,0,0
104,business-47891982,RefSum,0.4,0,0,0,0,0,0
105,business-50498796,facebook/bart-large-cnn,0.3784322110932818,0.07894736842105263,0.25,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.25
106,business-50498796,google/pegasus-xsum,0.45664003683942833,0.15,0.6,0.05714285714285714,0.4,0,0.6
107,business-50498796,t5-large,0.39867003609412255,0.07692307692307693,0.2222222222222222,0.20588235294117646,0,0.25,0.22222222222222224
108,business-50498796,gpt-3.5-turbo,0.3650317999714776,0,0.18181818181818182,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.1818181818181818
109,business-50498796,RefSum,0.5591813022124497,0.15,1,0.05714285714285714,0,0,1
110,business-50982547,facebook/bart-large-cnn,0.35737083316967294,0,0,0.391304347826087,0,0.1111111111111111,0
111,business-50982547,google/pegasus-xsum,0.3212035258757434,0,0,0.09302325581395349,0.6666666666666666,0.16666666666666666,0
112,business-50982547,t5-large,0.349305793130006,0,0,0.14634146341463414,0.25,0.25,0
113,business-50982547,gpt-3.5-turbo,0.41557011641633057,0.057692307692307696,0.4,0.2653061224489796,0.25,0,0.4
114,business-50982547,RefSum,0.556135687653523,0.06976744186046512,1,0.025,0,0,1
115,business-54592246,facebook/bart-large-cnn,0.3769598255313815,0,0,0.26666666666666666,0,0,0
116,business-54592246,google/pegasus-xsum,0.35213512828053345,0,0,0.25,0.3333333333333333,0,0
117,business-54592246,t5-large,0.3632778298947203,0,0,0.2,0.25,0,0
118,business-54592246,gpt-3.5-turbo,0.3769598255313815,0,0,0.26666666666666666,0,0,0
119,business-54592246,RefSum,0.4,0,0,0,0,0,0
120,education-56213402,facebook/bart-large-cnn,0.35072980687071764,0,0,0.4375,0,0.14285714285714285,0
121,education-56213402,google/pegasus-xsum,0.46937911852241626,0.10344827586206896,0.5,0.1111111111111111,0,0,0.5
122,education-56213402,t5-large,0.35606099231587507,0,0,0.3333333333333333,0,0.2,0
123,education-56213402,gpt-3.5-turbo,0.4007163747181416,0.08823529411764706,0.2222222222222222,0.40625,0,0,0.22222222222222224
124,education-56213402,RefSum,0.5575046327150437,0.10344827586206896,1,0.037037037037037035,0,0,1
125,entertainment-arts-11956797,facebook/bart-large-cnn,0.3461636351566697,0,0,0.5142857142857142,0.1,0,0
126,entertainment-arts-11956797,google/pegasus-xsum,0.5534572563937673,0,1,0,0,0,1
127,entertainment-arts-11956797,t5-large,0.3761048476377176,0,0,0.27586206896551724,0,0,0
128,entertainment-arts-11956797,gpt-3.5-turbo,0.36820749722009427,0,0.16666666666666666,0.5555555555555556,0,0,0.16666666666666669
129,entertainment-arts-11956797,RefSum,0.5534572563937673,0,1,0,0,0,1
130,entertainment-arts-23158374,facebook/bart-large-cnn,0.3455908005263801,0,0,0.5806451612903226,0,0,0
131,entertainment-arts-23158374,google/pegasus-xsum,0.4890318769149765,0,0.6666666666666666,0.07692307692307693,0,0,0.6666666666666665
132,entertainment-arts-23158374,t5-large,0.35583777803876415,0,0,0.4827586206896552,0,0,0
133,entertainment-arts-23158374,gpt-3.5-turbo,0.3933331361354965,0,0.35294117647058826,0.29411764705882354,0.3333333333333333,0,0.35294117647058826
134,entertainment-arts-23158374,RefSum,0.5534572563937673,0,1,0,0,0,1
135,entertainment-arts-26706229,facebook/bart-large-cnn,0.39699717273426965,0.10344827586206896,0.25,0.39285714285714285,0.14285714285714285,0,0.25
136,entertainment-arts-26706229,google/pegasus-xsum,0.558740529666606,0.13043478260869565,1,0.045454545454545456,0,0,1
137,entertainment-arts-26706229,t5-large,0.3425435672445481,0,0,0.17391304347826086,0,0.5,0
138,entertainment-arts-26706229,gpt-3.5-turbo,0.3746232531416757,0.09375,0.18181818181818182,0.5483870967741935,0.1,0,0.18181818181818182
139,entertainment-arts-26706229,RefSum,0.558740529666606,0.13043478260869565,1,0.045454545454545456,0,0,1
140,entertainment-arts-31682196,facebook/bart-large-cnn,0.3384143333719436,0,0,0.6470588235294118,0,0,0
141,entertainment-arts-31682196,google/pegasus-xsum,0.348917845532472,0,0,0.08,0.5,0,0
142,entertainment-arts-31682196,t5-large,0.36280888533576783,0,0,0.41379310344827586,0,0,0
143,entertainment-arts-31682196,gpt-3.5-turbo,0.36280888533576783,0,0,0.41379310344827586,0,0,0
144,entertainment-arts-31682196,RefSum,0.4,0,0,0,0,0,0
145,entertainment-arts-35042217,facebook/bart-large-cnn,0.3683099299097814,0,0,0.2222222222222222,0.16666666666666666,0,0
146,entertainment-arts-35042217,google/pegasus-xsum,0.3959399449843182,0,0,0.05,0,0,0
147,entertainment-arts-35042217,t5-large,0.38057744758147877,0,0,0.22727272727272727,0,0,0
148,entertainment-arts-35042217,gpt-3.5-turbo,0.3588382055873253,0,0,0.21739130434782608,0.2857142857142857,0,0
149,entertainment-arts-35042217,RefSum,0.4,0,0,0,0,0,0
150,entertainment-arts-39002451,facebook/bart-large-cnn,0.4244327337587642,0.07894736842105263,0.4,0.3055555555555556,0.125,0,0.4
151,entertainment-arts-39002451,google/pegasus-xsum,0.5571254789715407,0.09375,1,0.03333333333333333,0,0,1
