,Model,Sentence ID,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
0,facebookbart-large-cnn,1,0.41321299299964187,0.42857142857142855,0.4,0.16666666666666666,0.75,0,0.4
1,googlepegasus-xsum,1,0.4,0,0,0,0,0,0
2,gpt-3.5-turbo,1,0.3942902181574157,0.375,0.3333333333333333,0.14285714285714285,0.8,0,0.33333333333333337
3,t5-large,1,0.2811399676068169,0,0,0,1,0.3333333333333333,0
4,RefSum,1,0.5874552249568642,0.75,1,0.3333333333333333,0,0,1
5,facebookbart-large-cnn,2,0.29769516240415517,0,0,0,1,0,0
6,googlepegasus-xsum,2,0.29769516240415517,0,0,0,1,0,0
7,gpt-3.5-turbo,2,0.29769516240415517,0,0,0,1,0,0
8,t5-large,2,0.29769516240415517,0,0,0,1,0,0
9,RefSum,2,0.4,0,0,0,0,0,0
10,facebookbart-large-cnn,3,0.37704505799145965,0,0.4,0,0.75,0,0.4
11,googlepegasus-xsum,3,0.29769516240415517,0,0,0,1,0,0
12,gpt-3.5-turbo,3,0.29769516240415517,0,0,0,1,0,0
13,t5-large,3,0.29769516240415517,0,0,0,1,0,0
14,RefSum,3,0.5534572563937673,0,1,0,0,0,1
15,facebookbart-large-cnn,4,0.29769516240415517,0,0,0,1,0,0
16,googlepegasus-xsum,4,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
17,gpt-3.5-turbo,4,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
18,t5-large,4,0.29769516240415517,0,0,0,1,0,0
19,RefSum,4,0.5534572563937673,0,1,0,0,0,1
20,facebookbart-large-cnn,5,0.29769516240415517,0,0,0,1,0,0
21,googlepegasus-xsum,5,0.5534572563937673,0,1,0,0,0,1
22,gpt-3.5-turbo,5,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
23,t5-large,5,0.29769516240415517,0,0,0,1,0,0
24,RefSum,5,0.5534572563937673,0,1,0,0,0,1
25,facebookbart-large-cnn,6,0.29769516240415517,0,0,0,1,0,0
26,googlepegasus-xsum,6,0.29769516240415517,0,0,0,1,0,0
27,gpt-3.5-turbo,6,0.29769516240415517,0,0,0,1,0,0
28,t5-large,6,0.29769516240415517,0,0,0,1,0,0
29,RefSum,6,0.5534572563937673,0,1,0,0,0,1
30,facebookbart-large-cnn,7,0.29769516240415517,0,0,0,1,0,0
31,googlepegasus-xsum,7,0.5534572563937673,0,1,0,0,0,1
32,gpt-3.5-turbo,7,0.5534572563937673,0,1,0,0,0,1
33,t5-large,7,0.29769516240415517,0,0,0,1,0,0
34,RefSum,7,0.5534572563937673,0,1,0,0,0,1
35,facebookbart-large-cnn,8,0.377657508993602,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333
36,googlepegasus-xsum,8,0.405798557732209,0,0.4,0,0.5,0,0.4
37,gpt-3.5-turbo,8,0.29769516240415517,0,0,0,1,0,0
38,t5-large,8,0.29769516240415517,0,0,0,1,0,0
39,RefSum,8,0.5534572563937673,0,1,0,0,0,1
40,facebookbart-large-cnn,9,0.29769516240415517,0,0,0,1,0,0
41,googlepegasus-xsum,9,0.4,0,0,0,0,0,0
42,gpt-3.5-turbo,9,0.29769516240415517,0,0,0,1,0,0
43,t5-large,9,0.29769516240415517,0,0,0,1,0,0
44,RefSum,9,0.4,0,0,0,0,0,0
45,facebookbart-large-cnn,10,0.29769516240415517,0,0,0,1,0,0
46,googlepegasus-xsum,10,0.4206026896294915,0,0.5,0,0.5,0,0.5
47,gpt-3.5-turbo,10,0.35549454126868385,0,0.2857142857142857,0,0.8,0,0.28571428571428575
48,t5-large,10,0.29769516240415517,0,0,0,1,0,0
49,RefSum,10,0.5534572563937673,0,1,0,0,0,1
50,facebookbart-large-cnn,11,0.29769516240415517,0,0,0,1,0,0
51,googlepegasus-xsum,11,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
52,gpt-3.5-turbo,11,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
53,t5-large,11,0.29769516240415517,0,0,0,1,0,0
54,RefSum,11,0.5534572563937673,0,1,0,0,0,1
55,facebookbart-large-cnn,12,0.29769516240415517,0,0,0,1,0,0
56,googlepegasus-xsum,12,0.29769516240415517,0,0,0,1,0,0
57,gpt-3.5-turbo,12,0.29769516240415517,0,0,0,1,0,0
58,t5-large,12,0.29769516240415517,0,0,0,1,0,0
59,RefSum,12,0.4,0,0,0,0,0,0
60,facebookbart-large-cnn,13,0.29769516240415517,0,0,0,1,0,0
61,googlepegasus-xsum,13,0.29769516240415517,0,0,0,1,0,0
62,gpt-3.5-turbo,13,0.29769516240415517,0,0,0,1,0,0
63,t5-large,13,0.29769516240415517,0,0,0,1,0,0
64,RefSum,13,0.5534572563937673,0,1,0,0,0,1
65,facebookbart-large-cnn,14,0.29769516240415517,0,0,0,1,0,0
66,googlepegasus-xsum,14,0.29769516240415517,0,0,0,1,0,0
67,gpt-3.5-turbo,14,0.3383492674616346,0,0.18181818181818182,0,0.8333333333333334,0,0.1818181818181818
68,t5-large,14,0.3445668003521153,0,0.2,0,0.8,0,0.20000000000000004
69,RefSum,14,0.5534572563937673,0,1,0,0,0,1
70,facebookbart-large-cnn,15,0.29769516240415517,0,0,0,1,0,0
71,googlepegasus-xsum,15,0.4206026896294915,0,0.5,0,0.5,0,0.5
72,gpt-3.5-turbo,15,0.29769516240415517,0,0,0,1,0,0
73,t5-large,15,0.29769516240415517,0,0,0,1,0,0
74,RefSum,15,0.5534572563937673,0,1,0,0,0,1
75,facebookbart-large-cnn,16,0.29769516240415517,0,0,0,1,0,0
76,googlepegasus-xsum,16,0.4871569583491294,0,0.8,0,0.3333333333333333,0,0.8
77,gpt-3.5-turbo,16,0.38695581463798895,0,0.4,0,0.6666666666666666,0,0.4
78,t5-large,16,0.29769516240415517,0,0,0,1,0,0
79,RefSum,16,0.5534572563937673,0,1,0,0,0,1
80,facebookbart-large-cnn,17,0.337711027775658,0,0.2,0,0.8571428571428571,0,0.2
81,googlepegasus-xsum,17,0.29769516240415517,0,0,0,1,0,0
82,gpt-3.5-turbo,17,0.3245456677192439,0,0.14285714285714285,0,0.9090909090909091,0,0.14285714285714288
83,t5-large,17,0.35087213119486393,0,0.25,0,0.8,0,0.25
84,RefSum,17,0.5534572563937673,0,1,0,0,0,1
85,facebookbart-large-cnn,18,0.29769516240415517,0,0,0,1,0,0
86,googlepegasus-xsum,18,0.29769516240415517,0,0,0,1,0,0
87,gpt-3.5-turbo,18,0.4206026896294915,0,0.5,0,0.5,0,0.5
88,t5-large,18,0.29769516240415517,0,0,0,1,0,0
89,RefSum,18,0.5534572563937673,0,1,0,0,0,1
90,facebookbart-large-cnn,19,0.29769516240415517,0,0,0,1,0,0
91,googlepegasus-xsum,19,0.4206026896294915,0,0.5,0,0.5,0,0.5
92,gpt-3.5-turbo,19,0.29769516240415517,0,0,0,1,0,0
93,t5-large,19,0.29769516240415517,0,0,0,1,0,0
94,RefSum,19,0.5534572563937673,0,1,0,0,0,1
95,facebookbart-large-cnn,20,0.4316205234359393,0,0.5714285714285714,0,0.5,0,0.5714285714285715
96,googlepegasus-xsum,20,0.46890634955543375,0,0.5,0,0,0,0.5
97,gpt-3.5-turbo,20,0.4716421075429515,0,0.75,0,0.4,0,0.7499999999999999
98,t5-large,20,0.405798557732209,0,0.4,0,0.5,0,0.4
99,RefSum,20,0.5534572563937673,0,1,0,0,0,1
100,facebookbart-large-cnn,21,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
101,googlepegasus-xsum,21,0.29769516240415517,0,0,0,1,0,0
102,gpt-3.5-turbo,21,0.3228448437213606,0,0.14285714285714285,0,0.9230769230769231,0,0.14285714285714288
103,t5-large,21,0.29769516240415517,0,0,0,1,0,0
104,RefSum,21,0.5534572563937673,0,1,0,0,0,1
105,facebookbart-large-cnn,22,0.29769516240415517,0,0,0,1,0,0
106,googlepegasus-xsum,22,0.4206026896294915,0,0.5,0,0.5,0,0.5
107,gpt-3.5-turbo,22,0.340462961298386,0,0.2222222222222222,0,0.8571428571428571,0,0.22222222222222224
108,t5-large,22,0.29769516240415517,0,0,0,1,0,0
109,RefSum,22,0.5534572563937673,0,1,0,0,0,1
110,facebookbart-large-cnn,23,0.29769516240415517,0,0,0,1,0,0
111,googlepegasus-xsum,23,0.29769516240415517,0,0,0,1,0,0
112,gpt-3.5-turbo,23,0.29769516240415517,0,0,0,1,0,0
113,t5-large,23,0.29769516240415517,0,0,0,1,0,0
114,RefSum,23,0.5534572563937673,0,1,0,0,0,1
115,facebookbart-large-cnn,24,0.29769516240415517,0,0,0,1,0,0
116,googlepegasus-xsum,24,0.29769516240415517,0,0,0,1,0,0
117,gpt-3.5-turbo,24,0.29769516240415517,0,0,0,1,0,0
118,t5-large,24,0.29769516240415517,0,0,0,1,0,0
119,RefSum,24,0.4,0,0,0,0,0,0
120,facebookbart-large-cnn,25,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
121,googlepegasus-xsum,25,0.5534572563937673,0,1,0,0,0,1
122,gpt-3.5-turbo,25,0.29769516240415517,0,0,0,1,0,0
123,t5-large,25,0.29769516240415517,0,0,0,1,0,0
124,RefSum,25,0.5534572563937673,0,1,0,0,0,1
125,facebookbart-large-cnn,26,0.29769516240415517,0,0,0,1,0,0
126,googlepegasus-xsum,26,0.5534572563937673,0,1,0,0,0,1
127,gpt-3.5-turbo,26,0.3338533378431038,0,0.2,0,0.8888888888888888,0,0.19999999999999998
128,t5-large,26,0.29769516240415517,0,0,0,1,0,0
129,RefSum,26,0.5534572563937673,0,1,0,0,0,1
130,facebookbart-large-cnn,27,0.29769516240415517,0,0,0,1,0,0
131,googlepegasus-xsum,27,0.29769516240415517,0,0,0,1,0,0
132,gpt-3.5-turbo,27,0.3686295252115505,0,0.36363636363636365,0,0.7777777777777778,0,0.3636363636363636
133,t5-large,27,0.29769516240415517,0,0,0,1,0,0
134,RefSum,27,0.5534572563937673,0,1,0,0,0,1
135,facebookbart-large-cnn,28,0.29769516240415517,0,0,0,1,0,0
136,googlepegasus-xsum,28,0.5534572563937673,0,1,0,0,0,1
137,gpt-3.5-turbo,28,0.37704505799145965,0,0.4,0,0.75,0,0.4
138,t5-large,28,0.29769516240415517,0,0,0,1,0,0
139,RefSum,28,0.5534572563937673,0,1,0,0,0,1
140,facebookbart-large-cnn,29,0.29769516240415517,0,0,0,1,0,0
141,googlepegasus-xsum,29,0.29769516240415517,0,0,0,1,0,0
142,gpt-3.5-turbo,29,0.29769516240415517,0,0,0,1,0,0
143,t5-large,29,0.29769516240415517,0,0,0,1,0,0
144,RefSum,29,0.5534572563937673,0,1,0,0,0,1
145,facebookbart-large-cnn,30,0.38695581463798895,0,0.4,0,0.6666666666666666,0,0.4
146,googlepegasus-xsum,30,0.29769516240415517,0,0,0,1,0,0
147,gpt-3.5-turbo,30,0.3438383491785287,0,0.2222222222222222,0.2222222222222222,0.7142857142857143,0,0.22222222222222224
148,t5-large,30,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
149,RefSum,30,0.5534572563937673,0,1,0,0,0,1
150,facebookbart-large-cnn,31,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
151,googlepegasus-xsum,31,0.5534572563937673,0,1,0,0,0,1
152,gpt-3.5-turbo,31,0.3468526899240554,0,0.25,0,0.8333333333333334,0,0.25
153,t5-large,31,0.29769516240415517,0,0,0,1,0,0
154,RefSum,31,0.5534572563937673,0,1,0,0,0,1
155,facebookbart-large-cnn,32,0.29769516240415517,0,0,0,1,0,0
156,googlepegasus-xsum,32,0.29769516240415517,0,0,0,1,0,0
157,gpt-3.5-turbo,32,0.29769516240415517,0,0,0,1,0,0
158,t5-large,32,0.29769516240415517,0,0,0,1,0,0
159,RefSum,32,0.5534572563937673,0,1,0,0,0,1
160,facebookbart-large-cnn,33,0.29769516240415517,0,0,0,1,0,0
161,googlepegasus-xsum,33,0.29769516240415517,0,0,0,1,0,0
162,gpt-3.5-turbo,33,0.29769516240415517,0,0,0,1,0,0
163,t5-large,33,0.29769516240415517,0,0,0,1,0,0
164,RefSum,33,0.5534572563937673,0,1,0,0,0,1
165,facebookbart-large-cnn,34,0.29769516240415517,0,0,0,1,0,0
166,googlepegasus-xsum,34,0.4871569583491294,0,0.8,0,0.3333333333333333,0,0.8
167,gpt-3.5-turbo,34,0.38695581463798895,0,0.4,0,0.6666666666666666,0,0.4
168,t5-large,34,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
169,RefSum,34,0.5534572563937673,0,1,0,0,0,1
170,facebookbart-large-cnn,35,0.2898701019628537,0,0,0,1,0.16666666666666666,0
171,googlepegasus-xsum,35,0.3808029335202205,0.3,0.2857142857142857,0.125,0.8,0,0.28571428571428575
172,gpt-3.5-turbo,35,0.3702315131253406,0.2727272727272727,0.25,0.1111111111111111,0.8333333333333334,0,0.25
173,t5-large,35,0.2811399676068169,0,0,0,1,0.3333333333333333,0
174,RefSum,35,0.5690285569056305,0.42857142857142855,1,0.2,0,0,1
175,facebookbart-large-cnn,36,0.29769516240415517,0,0,0,1,0,0
176,googlepegasus-xsum,36,0.4,0,0,0,0,0,0
177,gpt-3.5-turbo,36,0.29769516240415517,0,0,0,1,0,0
178,t5-large,36,0.29769516240415517,0,0,0,1,0,0
179,RefSum,36,0.4,0,0,0,0,0,0
180,facebookbart-large-cnn,37,0.4,0,0,0,0,0,0
181,googlepegasus-xsum,37,0.29769516240415517,0,0,0,1,0,0
182,gpt-3.5-turbo,37,0.29769516240415517,0,0,0,1,0,0
183,t5-large,37,0.29769516240415517,0,0,0,1,0,0
184,RefSum,37,0.5534572563937673,0,1,0,0,0,1
185,facebookbart-large-cnn,38,0.29769516240415517,0,0,0,1,0,0
186,googlepegasus-xsum,38,0.5534572563937673,0,1,0,0,0,1
187,gpt-3.5-turbo,38,0.3468526899240554,0,0.25,0,0.8333333333333334,0,0.25
188,t5-large,38,0.4,0,0,0,0,0,0
189,RefSum,38,0.5534572563937673,0,1,0,0,0,1
190,facebookbart-large-cnn,39,0.4,0,0,0,0,0,0
191,googlepegasus-xsum,39,0.29769516240415517,0,0,0,1,0,0
192,gpt-3.5-turbo,39,0.29769516240415517,0,0,0,1,0,0
193,t5-large,39,0.4,0,0,0,0,0,0
194,RefSum,39,0.5534572563937673,0,1,0,0,0,1
195,facebookbart-large-cnn,40,0.4,0,0,0,0,0,0
196,googlepegasus-xsum,40,0.29769516240415517,0,0,0,1,0,0
197,gpt-3.5-turbo,40,0.29769516240415517,0,0,0,1,0,0
198,t5-large,40,0.4,0,0,0,0,0,0
199,RefSum,40,0.4,0,0,0,0,0,0
200,facebookbart-large-cnn,41,0.29769516240415517,0,0,0,1,0,0
201,googlepegasus-xsum,41,0.29769516240415517,0,0,0,1,0,0
202,gpt-3.5-turbo,41,0.29769516240415517,0,0,0,1,0,0
203,t5-large,41,0.4,0,0,0,0,0,0
204,RefSum,41,0.4,0,0,0,0,0,0
205,facebookbart-large-cnn,42,0.29769516240415517,0,0,0,1,0,0
206,googlepegasus-xsum,42,0.40153705975694837,0,0.5,0,0.6666666666666666,0,0.5
207,gpt-3.5-turbo,42,0.3583883543404172,0,0.3076923076923077,0,0.8,0,0.30769230769230765
208,t5-large,42,0.29769516240415517,0,0,0,1,0,0
209,RefSum,42,0.5534572563937673,0,1,0,0,0,1
210,facebookbart-large-cnn,43,0.29769516240415517,0,0,0,1,0,0
211,googlepegasus-xsum,43,0.38695581463798895,0,0.4,0,0.6666666666666666,0,0.4
212,gpt-3.5-turbo,43,0.29769516240415517,0,0,0,1,0,0
213,t5-large,43,0.29769516240415517,0,0,0,1,0,0
214,RefSum,43,0.5534572563937673,0,1,0,0,0,1
215,facebookbart-large-cnn,44,0.29769516240415517,0,0,0,1,0,0
216,googlepegasus-xsum,44,0.29769516240415517,0,0,0,1,0,0
217,gpt-3.5-turbo,44,0.29769516240415517,0,0,0,1,0,0
218,t5-large,44,0.29769516240415517,0,0,0,1,0,0
219,RefSum,44,0.5534572563937673,0,1,0,0,0,1
220,facebookbart-large-cnn,45,0.29769516240415517,0,0,0,1,0,0
221,googlepegasus-xsum,45,0.4206026896294915,0,0.5,0,0.5,0,0.5
222,gpt-3.5-turbo,45,0.340462961298386,0,0.2222222222222222,0,0.8571428571428571,0,0.22222222222222224
223,t5-large,45,0.29769516240415517,0,0,0,1,0,0
224,RefSum,45,0.5534572563937673,0,1,0,0,0,1
225,facebookbart-large-cnn,46,0.29769516240415517,0,0,0,1,0,0
226,googlepegasus-xsum,46,0.29769516240415517,0,0,0,1,0,0
227,gpt-3.5-turbo,46,0.33554523551263454,0,0.2,0,0.875,0,0.2
228,t5-large,46,0.29769516240415517,0,0,0,1,0,0
229,RefSum,46,0.5534572563937673,0,1,0,0,0,1
230,facebookbart-large-cnn,47,0.29769516240415517,0,0,0,1,0,0
231,googlepegasus-xsum,47,0.29769516240415517,0,0,0,1,0,0
232,gpt-3.5-turbo,47,0.29769516240415517,0,0,0,1,0,0
233,t5-large,47,0.29769516240415517,0,0,0,1,0,0
234,RefSum,47,0.4,0,0,0,0,0,0
235,facebookbart-large-cnn,48,0.29769516240415517,0,0,0,1,0,0
236,googlepegasus-xsum,48,0.29769516240415517,0,0,0,1,0,0
237,gpt-3.5-turbo,48,0.29769516240415517,0,0,0,1,0,0
238,t5-large,48,0.29769516240415517,0,0,0,1,0,0
239,RefSum,48,0.5534572563937673,0,1,0,0,0,1
240,facebookbart-large-cnn,49,0.29769516240415517,0,0,0,1,0,0
241,googlepegasus-xsum,49,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
242,gpt-3.5-turbo,49,0.29769516240415517,0,0,0,1,0,0
243,t5-large,49,0.29769516240415517,0,0,0,1,0,0
244,RefSum,49,0.5534572563937673,0,1,0,0,0,1
245,facebookbart-large-cnn,50,0.4,0,0,0,0,0,0
246,googlepegasus-xsum,50,0.29769516240415517,0,0,0,1,0,0
247,gpt-3.5-turbo,50,0.36784200603547856,0,0.3333333333333333,0,0.75,0,0.3333333333333333
248,t5-large,50,0.29769516240415517,0,0,0,1,0,0
249,RefSum,50,0.5534572563937673,0,1,0,0,0,1
250,facebookbart-large-cnn,51,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
251,googlepegasus-xsum,51,0.29769516240415517,0,0,0,1,0,0
252,gpt-3.5-turbo,51,0.29769516240415517,0,0,0,1,0,0
253,t5-large,51,0.29769516240415517,0,0,0,1,0,0
254,RefSum,51,0.5534572563937673,0,1,0,0,0,1
255,facebookbart-large-cnn,52,0.29769516240415517,0,0,0,1,0,0
256,googlepegasus-xsum,52,0.29769516240415517,0,0,0,1,0,0
257,gpt-3.5-turbo,52,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
258,t5-large,52,0.29769516240415517,0,0,0,1,0,0
259,RefSum,52,0.5534572563937673,0,1,0,0,0,1
260,facebookbart-large-cnn,53,0.29769516240415517,0,0,0,1,0,0
261,googlepegasus-xsum,53,0.29769516240415517,0,0,0,1,0,0
262,gpt-3.5-turbo,53,0.29769516240415517,0,0,0,1,0,0
263,t5-large,53,0.29769516240415517,0,0,0,1,0,0
264,RefSum,53,0.5534572563937673,0,1,0,0,0,1
265,facebookbart-large-cnn,54,0.29769516240415517,0,0,0,1,0,0
266,googlepegasus-xsum,54,0.4,0,0,0,0,0,0
267,gpt-3.5-turbo,54,0.29769516240415517,0,0,0,1,0,0
268,t5-large,54,0.29769516240415517,0,0,0,1,0,0
269,RefSum,54,0.5534572563937673,0,1,0,0,0,1
270,facebookbart-large-cnn,55,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
271,googlepegasus-xsum,55,0.5534572563937673,0,1,0,0,0,1
272,gpt-3.5-turbo,55,0.5534572563937673,0,1,0,0,0,1
273,t5-large,55,0.29769516240415517,0,0,0,1,0,0
274,RefSum,55,0.5534572563937673,0,1,0,0,0,1
275,facebookbart-large-cnn,56,0.29769516240415517,0,0,0,1,0,0
276,googlepegasus-xsum,56,0.44686637015517244,0,0.6666666666666666,0,0.5,0,0.6666666666666666
277,gpt-3.5-turbo,56,0.33670734891197684,0,0.2,0.18181818181818182,0.7777777777777778,0,0.19999999999999998
278,t5-large,56,0.29769516240415517,0,0,0,1,0,0
279,RefSum,56,0.5534572563937673,0,1,0,0,0,1
280,facebookbart-large-cnn,57,0.29769516240415517,0,0,0,1,0,0
281,googlepegasus-xsum,57,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
282,gpt-3.5-turbo,57,0.35549454126868385,0,0.2857142857142857,0,0.8,0,0.28571428571428575
283,t5-large,57,0.29769516240415517,0,0,0,1,0,0
284,RefSum,57,0.5534572563937673,0,1,0,0,0,1
285,facebookbart-large-cnn,58,0.36784200603547856,0,0.3333333333333333,0,0.75,0,0.3333333333333333
286,googlepegasus-xsum,58,0.29769516240415517,0,0,0,1,0,0
287,gpt-3.5-turbo,58,0.29769516240415517,0,0,0,1,0,0
288,t5-large,58,0.38695581463798895,0,0.4,0,0.6666666666666666,0,0.4
289,RefSum,58,0.5534572563937673,0,1,0,0,0,1
290,facebookbart-large-cnn,59,0.29769516240415517,0,0,0,1,0,0
291,googlepegasus-xsum,59,0.29769516240415517,0,0,0,1,0,0
292,gpt-3.5-turbo,59,0.29769516240415517,0,0,0,1,0,0
293,t5-large,59,0.29769516240415517,0,0,0,1,0,0
294,RefSum,59,0.4,0,0,0,0,0,0
295,facebookbart-large-cnn,60,0.29769516240415517,0,0,0,1,0,0
296,googlepegasus-xsum,60,0.5534572563937673,0,1,0,0,0,1
297,gpt-3.5-turbo,60,0.3382885351243842,0,0.2222222222222222,0,0.875,0,0.2222222222222222
298,t5-large,60,0.29769516240415517,0,0,0,1,0,0
299,RefSum,60,0.5534572563937673,0,1,0,0,0,1
300,facebookbart-large-cnn,61,0.29769516240415517,0,0,0,1,0,0
301,googlepegasus-xsum,61,0.29769516240415517,0,0,0,1,0,0
302,gpt-3.5-turbo,61,0.35145081710721665,0,0.2857142857142857,0,0.8333333333333334,0,0.2857142857142857
303,t5-large,61,0.29769516240415517,0,0,0,1,0,0
304,RefSum,61,0.5534572563937673,0,1,0,0,0,1
305,facebookbart-large-cnn,62,0.37704505799145965,0,0.4,0,0.75,0,0.4
306,googlepegasus-xsum,62,0.29769516240415517,0,0,0,1,0,0
307,gpt-3.5-turbo,62,0.34395673921217956,0,0.25,0,0.8571428571428571,0,0.25
308,t5-large,62,0.29769516240415517,0,0,0,1,0,0
309,RefSum,62,0.5534572563937673,0,1,0,0,0,1
310,facebookbart-large-cnn,63,0.29769516240415517,0,0,0,1,0,0
311,googlepegasus-xsum,63,0.29769516240415517,0,0,0,1,0,0
312,gpt-3.5-turbo,63,0.29769516240415517,0,0,0,1,0,0
313,t5-large,63,0.29769516240415517,0,0,0,1,0,0
314,RefSum,63,0.4,0,0,0,0,0,0
315,facebookbart-large-cnn,64,0.29769516240415517,0,0,0,1,0,0
316,googlepegasus-xsum,64,0.377657508993602,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333
317,gpt-3.5-turbo,64,0.337711027775658,0,0.2,0,0.8571428571428571,0,0.2
318,t5-large,64,0.29769516240415517,0,0,0,1,0,0
319,RefSum,64,0.5534572563937673,0,1,0,0,0,1
320,facebookbart-large-cnn,65,0.29769516240415517,0,0,0,1,0,0
321,googlepegasus-xsum,65,0.5534572563937673,0,1,0,0,0,1
322,gpt-3.5-turbo,65,0.37704505799145965,0,0.4,0,0.75,0,0.4
323,t5-large,65,0.29769516240415517,0,0,0,1,0,0
324,RefSum,65,0.5534572563937673,0,1,0,0,0,1
325,facebookbart-large-cnn,66,0.36147894323895957,0,0.2857142857142857,0,0.75,0,0.28571428571428575
326,googlepegasus-xsum,66,0.377657508993602,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333
327,gpt-3.5-turbo,66,0.3583883543404172,0,0.3076923076923077,0,0.8,0,0.30769230769230765
328,t5-large,66,0.29769516240415517,0,0,0,1,0,0
329,RefSum,66,0.5534572563937673,0,1,0,0,0,1
330,facebookbart-large-cnn,67,0.29769516240415517,0,0,0,1,0,0
331,googlepegasus-xsum,67,0.4,0,0,0,0,0,0
332,gpt-3.5-turbo,67,0.29769516240415517,0,0,0,1,0,0
333,t5-large,67,0.29769516240415517,0,0,0,1,0,0
334,RefSum,67,0.4,0,0,0,0,0,0
335,facebookbart-large-cnn,68,0.29769516240415517,0,0,0,1,0,0
336,googlepegasus-xsum,68,0.4206026896294915,0,0.5,0,0.5,0,0.5
337,gpt-3.5-turbo,68,0.35549454126868385,0,0.2857142857142857,0,0.8,0,0.28571428571428575
338,t5-large,68,0.29769516240415517,0,0,0,1,0,0
339,RefSum,68,0.5534572563937673,0,1,0,0,0,1
340,facebookbart-large-cnn,69,0.29769516240415517,0,0,0,1,0,0
341,googlepegasus-xsum,69,0.4,0,0,0,0,0,0
342,gpt-3.5-turbo,69,0.29769516240415517,0,0,0,1,0,0
343,t5-large,69,0.29769516240415517,0,0,0,1,0,0
344,RefSum,69,0.4,0,0,0,0,0,0
345,facebookbart-large-cnn,70,0.29769516240415517,0,0,0,1,0,0
346,googlepegasus-xsum,70,0.5181141631773902,0,0.8,0,0,0,0.8
347,gpt-3.5-turbo,70,0.29769516240415517,0,0,0,1,0,0
348,t5-large,70,0.29769516240415517,0,0,0,1,0,0
349,RefSum,70,0.5534572563937673,0,1,0,0,0,1
350,facebookbart-large-cnn,71,0.3618119528663876,0,0.3333333333333333,0,0.8,0,0.33333333333333337
351,googlepegasus-xsum,71,0.5534572563937673,0,1,0,0,0,1
352,gpt-3.5-turbo,71,0.3382885351243842,0,0.2222222222222222,0,0.875,0,0.2222222222222222
353,t5-large,71,0.37704505799145965,0,0.4,0,0.75,0,0.4
354,RefSum,71,0.5534572563937673,0,1,0,0,0,1
355,facebookbart-large-cnn,72,0.29769516240415517,0,0,0,1,0,0
356,googlepegasus-xsum,72,0.37704505799145965,0,0.4,0,0.75,0,0.4
357,gpt-3.5-turbo,72,0.3338533378431038,0,0.2,0,0.8888888888888888,0,0.19999999999999998
358,t5-large,72,0.29769516240415517,0,0,0,1,0,0
359,RefSum,72,0.5534572563937673,0,1,0,0,0,1
360,facebookbart-large-cnn,73,0.29769516240415517,0,0,0,1,0,0
361,googlepegasus-xsum,73,0.49560622931484877,0,0.6666666666666666,0,0,0,0.6666666666666666
362,gpt-3.5-turbo,73,0.29769516240415517,0,0,0,1,0,0
363,t5-large,73,0.29769516240415517,0,0,0,1,0,0
364,RefSum,73,0.5534572563937673,0,1,0,0,0,1
365,facebookbart-large-cnn,74,0.29769516240415517,0,0,0,1,0,0
366,googlepegasus-xsum,74,0.5534572563937673,0,1,0,0,0,1
367,gpt-3.5-turbo,74,0.29769516240415517,0,0,0,1,0,0
368,t5-large,74,0.29769516240415517,0,0,0,1,0,0
369,RefSum,74,0.5534572563937673,0,1,0,0,0,1
370,facebookbart-large-cnn,75,0.29769516240415517,0,0,0,1,0,0
371,googlepegasus-xsum,75,0.29769516240415517,0,0,0,1,0,0
372,gpt-3.5-turbo,75,0.32362512194757853,0,0.14285714285714285,0,0.9166666666666666,0,0.14285714285714285
373,t5-large,75,0.29769516240415517,0,0,0,1,0,0
374,RefSum,75,0.5534572563937673,0,1,0,0,0,1
375,facebookbart-large-cnn,76,0.29769516240415517,0,0,0,1,0,0
376,googlepegasus-xsum,76,0.29769516240415517,0,0,0,1,0,0
377,gpt-3.5-turbo,76,0.29769516240415517,0,0,0,1,0,0
378,t5-large,76,0.29769516240415517,0,0,0,1,0,0
