,Model,Unnamed: 0,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score,EHI Normalized
0,RefSum,1001.5,0.5293882992335402,0.07949377317002493,0.8225,0.02974350985943462,0,0,0.8225,0.9148581865048031
1,facebook/bart-large-cnn,997.5,0.36357420932092444,0.03039058560119287,0.07785478940993647,0.38813371230387955,0.05451809301809301,0.11566759629259629,0.07785478940993647,0.6085858991731568
2,google/pegasus-xsum,998.5,0.4038630961359744,0.04965799230566731,0.31874805749805746,0.08393073329138033,0.296915854978355,0.12505357142857143,0.31874805749805746,0.683002792969058
3,gpt-3.5-turbo,1000.5,0.37225426056810207,0.04886898875216952,0.16101278561622986,0.34274708029634154,0.23402944755837557,0.04693304714076772,0.16101278561622986,0.6246186690724458
4,t5-large,999.5,0.3644313686567506,0.02574101981826025,0.06973991898624252,0.30625512102818175,0.0645304834054834,0.1643224206349206,0.06973991898624252,0.6101691430972979
