,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
504,uk-england-merseyside-44696813,RefSum,0.740522151451207,0.075,1,0.02631578947368421,0,0,1
505,uk-england-merseyside-46905959,facebook/bart-large-cnn,0.24766380113907163,0,0,0.1111111111111111,0,1,0
506,uk-england-merseyside-46905959,google/pegasus-xsum,0.45921466880591305,0.13043478260869565,0.3333333333333333,0.22727272727272727,0.4,0,0.33333333333333337
507,uk-england-merseyside-46905959,t5-large,0.11920292202211755,0,0,0,1,1,0
508,uk-england-merseyside-46905959,gpt-3.5-turbo,0.3732155964119284,0.10714285714285714,0.18181818181818182,0.4074074074074074,0.4,0,0.18181818181818182
509,uk-england-merseyside-46905959,RefSum,0.7506981410836624,0.15789473684210525,1,0.05555555555555555,0,0,1
510,uk-england-norfolk-40306087,facebook/bart-large-cnn,0.4217022267039683,0,0,0.3157894736842105,0,0,0
511,uk-england-norfolk-40306087,google/pegasus-xsum,0.47062211201074466,0,0,0.11764705882352941,0,0,0
512,uk-england-norfolk-40306087,t5-large,0.4217022267039683,0,0,0.3157894736842105,0,0,0
513,uk-england-norfolk-40306087,gpt-3.5-turbo,0.401312339887548,0,0,0.4,0,0,0
514,uk-england-norfolk-40306087,RefSum,0.7310585786300049,0,1,0,0,0,1
515,uk-england-nottinghamshire-45500984,facebook/bart-large-cnn,0.30294071603459277,0,0,0.16666666666666666,0.6666666666666666,0,0
516,uk-england-nottinghamshire-45500984,google/pegasus-xsum,0.5,0,0,0,0,0,0
517,uk-england-nottinghamshire-45500984,t5-large,0.30294071603459277,0,0,0.16666666666666666,0.6666666666666666,0,0
518,uk-england-nottinghamshire-45500984,gpt-3.5-turbo,0.33585562413702275,0,0,0.18181818181818182,0.5,0,0
519,uk-england-nottinghamshire-45500984,RefSum,0.7310585786300049,0,1,0,0,0,1
520,uk-england-oxfordshire-20503005,facebook/bart-large-cnn,0.40733340004593027,0,0,0.375,0,0,0
521,uk-england-oxfordshire-20503005,google/pegasus-xsum,0.3645764407416393,0,0,0.5555555555555556,0,0,0
522,uk-england-oxfordshire-20503005,t5-large,0.40733340004593027,0,0,0.375,0,0,0
523,uk-england-oxfordshire-20503005,gpt-3.5-turbo,0.3442425588375901,0,0,0.4444444444444444,0.2,0,0
524,uk-england-oxfordshire-20503005,RefSum,0.5,0,0,0,0,0,0
525,uk-england-oxfordshire-55400161,facebook/bart-large-cnn,0.49227791290233874,0.1875,0.3333333333333333,0.5517241379310345,0,0,0.3333333333333333
526,uk-england-oxfordshire-55400161,google/pegasus-xsum,0.3958902052122228,0.125,0.5,0.047619047619047616,0,1,0.5
527,uk-england-oxfordshire-55400161,t5-large,0.4724056891232375,0.18181818181818182,0.3076923076923077,0.6,0,0,0.30769230769230765
528,uk-england-oxfordshire-55400161,gpt-3.5-turbo,0.40318993929631664,0.16666666666666666,0.25,0.42424242424242425,0.38461538461538464,0,0.25
529,uk-england-oxfordshire-55400161,RefSum,0.7583789690615553,0.23076923076923078,1,0.08695652173913043,0,0,1
530,uk-england-somerset-35861548,facebook/bart-large-cnn,0.33924363123418283,0,0,0.6666666666666666,0,0,0
531,uk-england-somerset-35861548,google/pegasus-xsum,0.5,0,0,0,0,0,0
532,uk-england-somerset-35861548,t5-large,0.35083187501122726,0,0,0.6153846153846154,0,0,0
533,uk-england-somerset-35861548,gpt-3.5-turbo,0.3722147275691091,0,0,0.2727272727272727,0.25,0,0
534,uk-england-somerset-35861548,RefSum,0.7310585786300049,0,1,0,0,0,1
535,uk-england-somerset-39684631,facebook/bart-large-cnn,0.39298486893075274,0,0,0.43478260869565216,0,0,0
536,uk-england-somerset-39684631,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
537,uk-england-somerset-39684631,t5-large,0.39298486893075274,0,0,0.43478260869565216,0,0,0
538,uk-england-somerset-39684631,gpt-3.5-turbo,0.36636892034736546,0,0,0.34782608695652173,0.2,0,0
539,uk-england-somerset-39684631,RefSum,0.5,0,0,0,0,0,0
540,uk-england-south-yorkshire-49700817,facebook/bart-large-cnn,0.34999808658149645,0,0,0.2857142857142857,0.3333333333333333,0,0
541,uk-england-south-yorkshire-49700817,google/pegasus-xsum,0.5533673727996529,0,0.5,0.2857142857142857,0,0,0.5
542,uk-england-south-yorkshire-49700817,t5-large,0.45842951678320015,0,0,0.16666666666666666,0,0,0
543,uk-england-south-yorkshire-49700817,gpt-3.5-turbo,0.34999808658149645,0,0,0.2857142857142857,0.3333333333333333,0,0
544,uk-england-south-yorkshire-49700817,RefSum,0.7310585786300049,0,1,0,0,0,1
545,uk-england-south-yorkshire-54572565,facebook/bart-large-cnn,0.32396000232176625,0,0,0.06896551724137931,0.6666666666666666,0,0
546,uk-england-south-yorkshire-54572565,google/pegasus-xsum,0.6145944982675495,0,0.8,0,0.3333333333333333,0,0.8
547,uk-england-south-yorkshire-54572565,t5-large,0.3760158885154768,0,0,0.36363636363636365,0.14285714285714285,0,0
548,uk-england-south-yorkshire-54572565,gpt-3.5-turbo,0.389360766050778,0,0,0.2,0.25,0,0
549,uk-england-south-yorkshire-54572565,RefSum,0.7310585786300049,0,1,0,0,0,1
550,uk-england-south-yorkshire-55768636,facebook/bart-large-cnn,0.35897023535662365,0.07894736842105263,0.125,0.7837837837837838,0,0,0.125
551,uk-england-south-yorkshire-55768636,google/pegasus-xsum,0.7467818503062239,0.125,1,0.043478260869565216,0,0,1
552,uk-england-south-yorkshire-55768636,t5-large,0.38034238342706256,0.08333333333333333,0.14285714285714285,0.7142857142857143,0,0,0.14285714285714288
553,uk-england-south-yorkshire-55768636,gpt-3.5-turbo,0.45487224413273974,0.0967741935483871,0.2222222222222222,0.5,0,0,0.2222222222222222
554,uk-england-south-yorkshire-55768636,RefSum,0.7467818503062239,0.125,1,0.043478260869565216,0,0,1
555,uk-england-stoke-staffordshire-25680638,facebook/bart-large-cnn,0.4100795907374461,0,0,0.36363636363636365,0,0,0
556,uk-england-stoke-staffordshire-25680638,google/pegasus-xsum,0.5,0,0,0,0,0,0
557,uk-england-stoke-staffordshire-25680638,t5-large,0.3775406687981454,0,0,0.5,0,0,0
558,uk-england-stoke-staffordshire-25680638,gpt-3.5-turbo,0.33585562413702275,0,0,0.18181818181818182,0.5,0,0
559,uk-england-stoke-staffordshire-25680638,RefSum,0.5,0,0,0,0,0,0
560,uk-england-suffolk-18282208,facebook/bart-large-cnn,0.34864513533394575,0,0,0.375,0.25,0,0
561,uk-england-suffolk-18282208,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
562,uk-england-suffolk-18282208,t5-large,0.2689414213699951,0,0,0,1,0,0
563,uk-england-suffolk-18282208,gpt-3.5-turbo,0.32018077121429256,0,0,0.35294117647058826,0.4,0,0
564,uk-england-suffolk-18282208,RefSum,0.7310585786300049,0,1,0,0,0,1
565,uk-england-suffolk-46071589,facebook/bart-large-cnn,0.42367812009254757,0,0,0.3076923076923077,0,0,0
566,uk-england-suffolk-46071589,google/pegasus-xsum,0.5,0,0,0,0,0,0
567,uk-england-suffolk-46071589,t5-large,0.45842951678320015,0,0,0.16666666666666666,0,0,0
568,uk-england-suffolk-46071589,gpt-3.5-turbo,0.3172006139065875,0,0,0.26666666666666666,0.5,0,0
569,uk-england-suffolk-46071589,RefSum,0.7310585786300049,0,1,0,0,0,1
570,uk-england-tees-17350377,facebook/bart-large-cnn,0.2979366301210704,0,0,0.8571428571428571,0,0,0
571,uk-england-tees-17350377,google/pegasus-xsum,0.2689414213699951,0,0,0,1,0,0
572,uk-england-tees-17350377,t5-large,0.316645529812217,0,0,0.7692307692307693,0,0,0
573,uk-england-tees-17350377,gpt-3.5-turbo,0.320821300824607,0,0,0.5,0.25,0,0
574,uk-england-tees-17350377,RefSum,0.7310585786300049,0,1,0,0,0,1
575,uk-england-tees-44279080,facebook/bart-large-cnn,0.44370177159369345,0.20689655172413793,0.3076923076923077,0.7407407407407407,0,0,0.3076923076923077
576,uk-england-tees-44279080,google/pegasus-xsum,0.49583342978127154,0.15,0.5,0.16666666666666666,0,0.5,0.5
577,uk-england-tees-44279080,t5-large,0.44370177159369345,0.20689655172413793,0.3076923076923077,0.7407407407407407,0,0,0.3076923076923077
578,uk-england-tees-44279080,gpt-3.5-turbo,0.353631685367164,0.10714285714285714,0.16666666666666666,0.5769230769230769,0.2,0.1,0.16666666666666669
579,uk-england-tees-44279080,RefSum,0.7665422839962102,0.3,1,0.1111111111111111,0,0,1
580,uk-england-tyne-55201101,facebook/bart-large-cnn,0.3973146620215083,0.10714285714285714,0.14285714285714285,0.5238095238095238,0.14285714285714285,0,0.14285714285714285
