,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
55,business-38842721,facebook/bart-large-cnn,0,0,0,0.3137254901960784,0.1111111111111111,0,0
56,business-38842721,google/pegasus-xsum,0,0,0,0.17391304347826086,0,0,0
57,business-38842721,t5-large,0,0,0,0.3137254901960784,0.1111111111111111,0,0
58,business-38842721,gpt-3.5-turbo,0,0,0,0.22641509433962265,0.45454545454545453,0,0
59,business-38842721,RefSum,0,0,0,0,0,0,0
60,business-38878091,facebook/bart-large-cnn,0,0,0,0.4878048780487805,0,0.1,0
61,business-38878091,google/pegasus-xsum,0.7073170731707317,0.08333333333333333,0.4,0.2,0,0,0.4
62,business-38878091,t5-large,0.43591350673769974,0.075,0.2222222222222222,0.38461538461538464,0,0,0.2222222222222222
63,business-38878091,gpt-3.5-turbo,0.19273693534100975,0.061224489795918366,0.1111111111111111,0.6041666666666666,0.11764705882352941,0,0.1111111111111111
64,business-38878091,RefSum,0.9721518987341772,0.09090909090909091,1,0.03125,0,0,1
65,business-39841164,facebook/bart-large-cnn,0.3249714937286203,0.046875,0.25,0.11666666666666667,0,0.5,0.25
66,business-39841164,google/pegasus-xsum,0.46316425120772947,0.047619047619047616,0.5714285714285714,0.05084745762711865,0,0.6666666666666666,0.5714285714285715
67,business-39841164,t5-large,0,0,0,0.13333333333333333,0,0.75,0
68,business-39841164,gpt-3.5-turbo,0.39306358381502887,0.08333333333333333,0.25,0.2647058823529412,0.16666666666666666,0.08333333333333333,0.25
69,business-39841164,RefSum,0.958005249343832,0.140625,1,0.05,0,0,1
70,business-40375970,facebook/bart-large-cnn,0,0,0,0.23076923076923078,0.14285714285714285,0,0
71,business-40375970,google/pegasus-xsum,0.9215686274509804,0,0.5,0.0425531914893617,0,0,0.5
72,business-40375970,t5-large,0,0,0,0.043478260869565216,0,0,0
73,business-40375970,gpt-3.5-turbo,0,0,0,0.0425531914893617,0.5,0,0
74,business-40375970,RefSum,1,0,1,0,0,0,1
75,business-40666236,facebook/bart-large-cnn,0,0,0,0.29411764705882354,0,0,0
76,business-40666236,google/pegasus-xsum,1,0,1,0,0,0,1
77,business-40666236,t5-large,0,0,0,0.34285714285714286,0,0,0
78,business-40666236,gpt-3.5-turbo,0.5714285714285715,0,0.6666666666666666,0,0.5,0,0.6666666666666666
79,business-40666236,RefSum,1,0,1,0,0,0,1
80,business-41231763,facebook/bart-large-cnn,0,0,0,0.5641025641025641,0,0,0
81,business-41231763,google/pegasus-xsum,0,0,0,0.25,0,0,0
82,business-41231763,t5-large,0,0,0,0.29411764705882354,0.16666666666666666,0,0
83,business-41231763,gpt-3.5-turbo,0,0,0,0.3902439024390244,0.38461538461538464,0,0
84,business-41231763,RefSum,0,0,0,0,0,0,0
85,business-42226808,facebook/bart-large-cnn,0,0,0,0.22857142857142856,0,0.25,0
86,business-42226808,google/pegasus-xsum,0.5814794215795328,0.08571428571428572,0.5,0.08823529411764706,0.3333333333333333,0,0.5
87,business-42226808,t5-large,0,0,0,0.22857142857142856,0,0.25,0
88,business-42226808,gpt-3.5-turbo,0.33297547278883477,0.07317073170731707,0.2,0.325,0.2222222222222222,0,0.19999999999999998
89,business-42226808,RefSum,0.9721518987341772,0.09090909090909091,1,0.03125,0,0,1
90,business-44725606,facebook/bart-large-cnn,0,0,0,0.2857142857142857,0,0,0
91,business-44725606,google/pegasus-xsum,0,0,0,0.08,0,0,0
92,business-44725606,t5-large,0,0,0,0.2222222222222222,0,0,0
93,business-44725606,gpt-3.5-turbo,0,0,0,0.125,0.75,0,0
94,business-44725606,RefSum,0,0,0,0,0,0,0
95,business-45506500,facebook/bart-large-cnn,0.38276649441172944,0.09375,0.2222222222222222,0.36666666666666664,0.14285714285714285,0,0.22222222222222224
96,business-45506500,google/pegasus-xsum,0.4,0,0.6666666666666666,0,0,1,0.6666666666666666
97,business-45506500,t5-large,0.7250589159465829,0.10714285714285714,0.4,0.19230769230769232,0,0,0.4
98,business-45506500,gpt-3.5-turbo,0.4237137633846958,0.08823529411764706,0.36363636363636365,0.28125,0.3333333333333333,0,0.3636363636363636
99,business-45506500,RefSum,0.9652509652509652,0.1111111111111111,1,0.04,0,0,1
100,business-47891982,facebook/bart-large-cnn,0,0,0,0.35,0,0,0
101,business-47891982,google/pegasus-xsum,0,0,0,0.21621621621621623,0,0,0
102,business-47891982,t5-large,0,0,0,0.3076923076923077,0,0,0
103,business-47891982,gpt-3.5-turbo,0,0,0,0.45454545454545453,0.09090909090909091,0,0
104,business-47891982,RefSum,0,0,0,0,0,0,0
105,business-50498796,facebook/bart-large-cnn,0.30275229357798167,0.07894736842105263,0.25,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.25
106,business-50498796,google/pegasus-xsum,0.621301775147929,0.15,0.6,0.05714285714285714,0.4,0,0.6
107,business-50498796,t5-large,0.39620442816713836,0.07692307692307693,0.2222222222222222,0.20588235294117646,0,0.25,0.22222222222222224
108,business-50498796,gpt-3.5-turbo,0.2011173184357542,0,0.18181818181818182,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.1818181818181818
109,business-50498796,RefSum,0.9526627218934911,0.15,1,0.05714285714285714,0,0,1
110,business-50982547,facebook/bart-large-cnn,0,0,0,0.391304347826087,0,0.1111111111111111,0
111,business-50982547,google/pegasus-xsum,0,0,0,0.09302325581395349,0.6666666666666666,0.16666666666666666,0
112,business-50982547,t5-large,0,0,0,0.14634146341463414,0.25,0.25,0
113,business-50982547,gpt-3.5-turbo,0.4703936753791546,0.057692307692307696,0.4,0.2653061224489796,0.25,0,0.4
114,business-50982547,RefSum,0.9771640998406799,0.06976744186046512,1,0.025,0,0,1
115,business-54592246,facebook/bart-large-cnn,0,0,0,0.26666666666666666,0,0,0
116,business-54592246,google/pegasus-xsum,0,0,0,0.25,0.3333333333333333,0,0
117,business-54592246,t5-large,0,0,0,0.2,0.25,0,0
118,business-54592246,gpt-3.5-turbo,0,0,0,0.26666666666666666,0,0,0
119,business-54592246,RefSum,0,0,0,0,0,0,0
120,education-56213402,facebook/bart-large-cnn,0,0,0,0.4375,0,0.14285714285714285,0
121,education-56213402,google/pegasus-xsum,0.8445040214477211,0.10344827586206896,0.5,0.1111111111111111,0,0,0.5
122,education-56213402,t5-large,0,0,0,0.3333333333333333,0,0.2,0
123,education-56213402,gpt-3.5-turbo,0.43317184383015106,0.08823529411764706,0.2222222222222222,0.40625,0,0,0.22222222222222224
124,education-56213402,RefSum,0.9675251959686451,0.10344827586206896,1,0.037037037037037035,0,0,1
125,entertainment-arts-11956797,facebook/bart-large-cnn,0,0,0,0.5142857142857142,0.1,0,0
126,entertainment-arts-11956797,google/pegasus-xsum,1,0,1,0,0,0,1
127,entertainment-arts-11956797,t5-large,0,0,0,0.27586206896551724,0,0,0
128,entertainment-arts-11956797,gpt-3.5-turbo,0.23076923076923075,0,0.16666666666666666,0.5555555555555556,0,0,0.16666666666666669
129,entertainment-arts-11956797,RefSum,1,0,1,0,0,0,1
130,entertainment-arts-23158374,facebook/bart-large-cnn,0,0,0,0.5806451612903226,0,0,0
131,entertainment-arts-23158374,google/pegasus-xsum,0.8965517241379309,0,0.6666666666666666,0.07692307692307693,0,0,0.6666666666666665
132,entertainment-arts-23158374,t5-large,0,0,0,0.4827586206896552,0,0,0
133,entertainment-arts-23158374,gpt-3.5-turbo,0.36,0,0.35294117647058826,0.29411764705882354,0.3333333333333333,0,0.35294117647058826
134,entertainment-arts-23158374,RefSum,1,0,1,0,0,0,1
135,entertainment-arts-26706229,facebook/bart-large-cnn,0.39750692520775627,0.10344827586206896,0.25,0.39285714285714285,0.14285714285714285,0,0.25
136,entertainment-arts-26706229,google/pegasus-xsum,0.9613445378151261,0.13043478260869565,1,0.045454545454545456,0,0,1
137,entertainment-arts-26706229,t5-large,0,0,0,0.17391304347826086,0,0.5,0
138,entertainment-arts-26706229,gpt-3.5-turbo,0.2982483981670667,0.09375,0.18181818181818182,0.5483870967741935,0.1,0,0.18181818181818182
139,entertainment-arts-26706229,RefSum,0.9613445378151261,0.13043478260869565,1,0.045454545454545456,0,0,1
140,entertainment-arts-31682196,facebook/bart-large-cnn,0,0,0,0.6470588235294118,0,0,0
141,entertainment-arts-31682196,google/pegasus-xsum,0,0,0,0.08,0.5,0,0
142,entertainment-arts-31682196,t5-large,0,0,0,0.41379310344827586,0,0,0
143,entertainment-arts-31682196,gpt-3.5-turbo,0,0,0,0.41379310344827586,0,0,0
144,entertainment-arts-31682196,RefSum,0,0,0,0,0,0,0
145,entertainment-arts-35042217,facebook/bart-large-cnn,0,0,0,0.2222222222222222,0.16666666666666666,0,0
146,entertainment-arts-35042217,google/pegasus-xsum,0,0,0,0.05,0,0,0
147,entertainment-arts-35042217,t5-large,0,0,0,0.22727272727272727,0,0,0
148,entertainment-arts-35042217,gpt-3.5-turbo,0,0,0,0.21739130434782608,0.2857142857142857,0,0
149,entertainment-arts-35042217,RefSum,0,0,0,0,0,0,0
150,entertainment-arts-39002451,facebook/bart-large-cnn,0.526603439961421,0.07894736842105263,0.4,0.3055555555555556,0.125,0,0.4
151,entertainment-arts-39002451,google/pegasus-xsum,0.9704251386321626,0.09375,1,0.03333333333333333,0,0,1
